headline,text,category,tags,faq,summary
Ericsson sees earnings improve,"Telecoms equipment supplier Ericsson has posted a rise in fourth quarter profits thanks to clients like Deutsche Telekom upgrade their networks.  Operating profit in the three months to 31 December was 9.5bn kronor (£722m; $1.3bn) against 6.3bn kronor last year. Shares tumbled, however, as the company reported a profit margin of 45.6%, less than the 47.3% forecast by analysts and down from 47.1% in the third quarter. Ericsson shares dropped 5.9% to 20.7 kronor in early trading on Thursday. However, the company remained optimistic about its earnings outlook after sales in the fourth quarter rose 9% to 39.4bn kronor. ""Long-term growth drivers of the industry remain solid,"" Ericsson said in a statement.  Chief executive Carl-Henric Svanberg explained that about ""27% of the world's population now has access to mobile communications"". ""This is exciting for a company with a vision of an all-communicating world,"" he added. Mr Svanberg, however, warned that the extra demand that had driven 2004 sales had already dissipated and it was ""business as usual"". He added that sales in the first three months of 2005 would be subject to ""normal seasonality"". For the whole of 2004, Ericsson returned a net profit of 19bn kronor, compared with a loss of 10.8bn kronor in 2003. Sales climbed to 131.9 billion kronor from 117.7bn kronor in 2003.",Good News 🎉,"['##sson', '##ek', '##om', 'Deutsche', 'Tel', 'Eric']","{'question': 'What is the main point of this article?', 'answer': 'optimistic about its earnings outlook'}","Summarize: Telecoms equipment supplier Ericsson has posted a rise in fourth quarter profits thanks to clients like Deutsche Telekom upgrade their networks.  Operating profit in the three months to 31 December was 9.5bn kronor (£722m; $1.3bn) against 6.3bn kronor last year. Shares tumbled, however, as the company reported a profit margin of 45.6%, less than the 47.3% forecast by analysts and down from 47.1% in the third quarter. Ericsson shares dropped 5.9% to 20.7 kronor in early trading on Thursday. However, the company remained optimistic about its earnings outlook after sales in the fourth quarter rose 9% to 39.4bn kronor. ""Long-term growth drivers of the industry remain solid,"" Ericsson said in a statement.  Chief executive Carl-Henric Svanberg explained that about ""27% of the world's population now has access to mobile communications"". ""This is exciting for a company with a vision of an all-communicating world,"" he added. Mr Svanberg, however, warned that the extra demand that had driven 2004 sales had already diss an operating profit of 10.4bn kronor (£973m).

The company said its operating profit in the first six months of the year was 12.5bn kronor (£1.1bn).

The company said it had achieved the ""unprecedented"" level of growth it had achieved in the past year, and had added more than 20,000 jobs.

The company said its net profit in the third quarter was 4.7bn kronor (£1.3bn) against an operating profit of 12.6bn kronor (£1.5bn).

The company said its earnings in the period to 31 December were 7.5bn kronor (£2.9bn) against an operating profit of 14.4bn kronor (£1.6bn).

The company said its net income for the year was 4.5bn kronor (£1.1bn).

The company said it is confident that investors will continue to see positive returns for its telecoms services and that there will be no significant loss in the fourth quarter of this year.

The report, which was released just days before the government's telecoms summit in Bangkok, showed that the Government"
Kraft cuts snack ads for children,"Kraft plans to cut back on advertising of products like Oreo cookies and sugary Kool-Aid drinks as part of an effort to promote healthy eating.  The largest US food maker will also add a label to its more nutritional and low-fat brands to promote the benefits. Kraft rival PepsiCo began a similar labelling initiative last year. The moves come as the firms face criticism from consumer groups concerned at rising levels of obesity in US children. Major food manufacturers have recently been reformulating the content of some calorie-heavy products.  Kraft's new advertising policy, which covers advertising on TV, radio and in print publications, is aimed at children between the ages of six and 11. It means commercials for some of its most famous snacks and cereals shown during early morning cartoon shows on TV will now be replaced by food and drink qualifying for Kraft's new ""Sensible Solution"" label. But the firm said it would continue to advertise all its products in media seen by parents and ""all family"" audiences. ""We're working on ways to encourage both adults and children to eat wisely by selecting more nutritionally balanced diets,"" said Lance Friedmann, Kraft senior vice president.",Just News 🤷,"['##eo', '##si', 'US', '##o', 'Aid', '##ol', '##raft', 'K', 'Ko', '##C', '##ep', '-', 'Or', 'P']","{'question': 'What is the main point of this article?', 'answer': 'healthy eating'}","Summarize: Kraft plans to cut back on advertising of products like Oreo cookies and sugary Kool-Aid drinks as part of an effort to promote healthy eating.  The largest US food maker will also add a label to its more nutritional and low-fat brands to promote the benefits. Kraft rival PepsiCo began a similar labelling initiative last year. The moves come as the firms face criticism from consumer groups concerned at rising levels of obesity in US children. Major food manufacturers have recently been reformulating the content of some calorie-heavy products.  Kraft's new advertising policy, which covers advertising on TV, radio and in print publications, is aimed at children between the ages of six and 11. It means commercials for some of its most famous snacks and cereals shown during early morning cartoon shows on TV will now be replaced by food and drink qualifying for Kraft's new ""Sensible Solution"" label. But the firm said it would continue to advertise all its products in media seen by parents and ""all family"" audience Kraft's ad campaign has been hit with controversy, with some labeling the product as ""low fat."" Kraft is also the only major food company to use an ""E"" or ""F"" sign on its packaging.

Kraft also plans to add a ""R"" or ""S"" for the Kool-Aid drinks.

The announcement comes amid a new ad campaign for Kraft's Oreo cookies and sugary snack drinks. In the U.S., brands can only sell to one of the four major U.S. food chains: McDonald's, Trader Joe's, Safeway, and Whole Foods. In China, the company will sell Oreo cookies and sugary snacks to one of three Chinese food manufacturers: Nestle, Wrigley's, and Kohl's.

The latest issue of Forbes magazine features an article from January that explores the future of the U.S. food industry.

[Image via Shutterstock]"
Worldcom boss 'left books alone',"Former Worldcom boss Bernie Ebbers, who is accused of overseeing an $11bn (£5.8bn) fraud, never made accounting decisions, a witness has told jurors.  David Myers made the comments under questioning by defence lawyers who have been arguing that Mr Ebbers was not responsible for Worldcom's problems. The phone company collapsed in 2002 and prosecutors claim that losses were hidden to protect the firm's shares. Mr Myers has already pleaded guilty to fraud and is assisting prosecutors.  On Monday, defence lawyer Reid Weingarten tried to distance his client from the allegations. During cross examination, he asked Mr Myers if he ever knew Mr Ebbers ""make an accounting decision?"". ""Not that I am aware of,"" Mr Myers replied. ""Did you ever know Mr Ebbers to make an accounting entry into Worldcom books?"" Mr Weingarten pressed. ""No,"" replied the witness. Mr Myers has admitted that he ordered false accounting entries at the request of former Worldcom chief financial officer Scott Sullivan. Defence lawyers have been trying to paint Mr Sullivan, who has admitted fraud and will testify later in the trial, as the mastermind behind Worldcom's accounting house of cards.  Mr Ebbers' team, meanwhile, are looking to portray him as an affable boss, who by his own admission is more PE graduate than economist. Whatever his abilities, Mr Ebbers transformed Worldcom from a relative unknown into a $160bn telecoms giant and investor darling of the late 1990s. Worldcom's problems mounted, however, as competition increased and the telecoms boom petered out. When the firm finally collapsed, shareholders lost about $180bn and 20,000 workers lost their jobs. Mr Ebbers' trial is expected to last two months and if found guilty the former CEO faces a substantial jail sentence. He has firmly declared his innocence.",Just News 🤷,"['E', '##com', 'Bernie', 'David', 'World', 'Myers', '##bbe', '##rs']","{'question': 'What is the main point of this article?', 'answer': ""Mr Ebbers was not responsible for Worldcom's problems""}","Summarize: Former Worldcom boss Bernie Ebbers, who is accused of overseeing an $11bn (£5.8bn) fraud, never made accounting decisions, a witness has told jurors.  David Myers made the comments under questioning by defence lawyers who have been arguing that Mr Ebbers was not responsible for Worldcom's problems. The phone company collapsed in 2002 and prosecutors claim that losses were hidden to protect the firm's shares. Mr Myers has already pleaded guilty to fraud and is assisting prosecutors.  On Monday, defence lawyer Reid Weingarten tried to distance his client from the allegations. During cross examination, he asked Mr Myers if he ever knew Mr Ebbers ""make an accounting decision?"". ""Not that I am aware of,"" Mr Myers replied. ""Did you ever know Mr Ebbers to make an accounting entry into Worldcom books?"" Mr Weingarten pressed. ""No,"" replied the witness. Mr Myers has admitted that he ordered false accounting entries at the request of former Worldcom chief financial officer Scott Sullivan. Defence lawyers have been tryin not the right person to handle the case. Mr Ebbers has been charged with embezzlement and fraud.

The testimony in the trial came as Mr Ebbers, who used to be involved in the business, was accused of being a fraudster at one point.

Prosecutors say he worked as a co-ordinator of an investment fund for a major American firm, Merrill Lynch.

In the final day of the trial Mr Ebbers, 66, was given a suspended prison sentence for three years and ordered to pay £35,000 in fines.

His wife, Jane, 55, and son, Alan, 24, are said to have been in the company of Mr Ebbers.

At the time of the alleged embezzlement, Mr Ebbers was a co-ordinator of Merrill Lynch's investment arm, which he had worked for for more than a decade.

The trial continues."
Steady job growth continues in US,"The US created fewer jobs than expected in December, but analysts said that the dip in hiring was not enough to derail the world's biggest economy.  According to Labor Department figures, 157,000 new jobs were added last month. That took 2004's total to 2.2 million, the best showing in five years. Job creation was one of last year's main concerns for the US economy. While worries still remain, the conditions are set for steady growth in 2005, analysts said. The unemployment rate stayed at 5.4% in December, and about 200,000 jobs will need to be created each month if that figure is to drop.  ""It was a respectable report,"" said Michael Moran, analyst at Daiwa Securities.  ""Payroll growth in December was a little lighter than the consensus forecast, but we had upward revisions to the prior two months and an increase in manufacturing employment."" ""Manufacturing is a cyclical area of the economy and if it's showing job growth, it's a good indication that the economy is on a solid growth track."" That means that the Federal Reserve is likely to continue its policy of raising interest rates. The Fed lifted borrowing costs five times last year to 2.25%, citing evidence the US economic recovery was becoming more robust.  Job creation was one of last year's main concerns for the US economy, and proved to be a main topic of debate in the US presidential election. While demand for workers is far from booming, the conditions are set for steady growth. ""Overall, compared to the previous year it looks great, it just keeps going stronger and stronger and I expect that to be the case"" in 2005, said Kurt Karl, economist at Swiss Re in New York. Meanwhile, economists cautioned against reading too much into data from the Federal Reserve showing an unexpected $8.7bn drop in consumer debt in November. A fall in consumer spending, which makes up about two-thirds of all US economic activity, could help limit the extent of any future interest rate rises. But economists said there could be a number of reasons for a fall in the borrowing, which include credit cards and personal loans, while noting that such figures can vary on a month-to-month basis.",Just News 🤷,"['Department', 'US', 'Labor']","{'question': 'What is the main point of this article?', 'answer': ""Job creation was one of last year's main concerns for the US economy""}","Summarize: The US created fewer jobs than expected in December, but analysts said that the dip in hiring was not enough to derail the world's biggest economy.  According to Labor Department figures, 157,000 new jobs were added last month. That took 2004's total to 2.2 million, the best showing in five years. Job creation was one of last year's main concerns for the US economy. While worries still remain, the conditions are set for steady growth in 2005, analysts said. The unemployment rate stayed at 5.4% in December, and about 200,000 jobs will need to be created each month if that figure is to drop.  ""It was a respectable report,"" said Michael Moran, analyst at Daiwa Securities.  ""Payroll growth in December was a little lighter than the consensus forecast, but we had upward revisions to the prior two months and an increase in manufacturing employment."" ""Manufacturing is a cyclical area of the economy and if it's showing job growth, it's a good indication that the economy is on a solid growth track."" That means that the.

In fact, there were fewer jobs in the U.S. in December than expected.

The unemployment rate rose to 9.9 percent from 7.8 percent in December. The unemployment rate for those who are new to the job market is now at 9.9 percent.

The unemployment rate for those who have been looking for work for at least a year was 7.5 percent last December.

The unemployment rate for those with a bachelor's degree or higher was 8.7 percent last December. The unemployment rate for those with a master's degree or higher was 7.4 percent.

More than 80 percent of the jobs created in December were in the manufacturing sector, but that sector was only 4.6 percent of the total.

The unemployment rate for those with a first- and second-generation American-born family was 6.2 percent.

More than 85 percent of the jobs created in December were in the financial services and real estate sectors, but that sector was only 3.3 percent of the total.

The jobless rate for those with a bachelor's degree or higher was 17.3 percent. The unemployment rate for those in the retail sector was 9.8 percent.

The"
Boeing unveils new 777 aircraft,"US aircraft firm Boeing has unveiled its new long-distance 777 plane, as it tries to regain its position as the industry's leading manufacturer.  The 777-200LR will be capable of flying almost 11,000 miles non-stop, linking cities such as London and Sydney. Boeing, in contrast to European rival Airbus, hopes airlines will want to fly smaller aircraft over longer distances. Airbus, which overtook Boeing as the number one civilian planemaker in 2003, is focusing on so-called super jumbos.  Analysts are divided over which approach is best and say that this latest tussle between Boeing and Airbus may prove to be a defining moment for the airline industry. Boeing plans to offer twin-engine planes that are able to fly direct to many of the world's airports, getting rid of the need for connecting flights.  It is banking on smaller, slimmer planes such as the 777-200LR and its much-anticipated 787 Dreamliner plane, which is set to take to the skies in 2008. The 777-200LR, which had its launch delayed by the 11 September attacks in the US, is the fifth variation of Boeing's twin-aisle 777 plane. The company offically ""rolled-out"" the new 777 in Seattle at 2200 GMT. Better fuel efficiency from engines made by GE and lighter materials mean that the plane can connect almost any two cities worldwide.  ""Boeing has the latest variant in a very successful line of airplanes and there is no doubt it will continue to be very successful,"" said David Learmount, operations and safety editor at industry magazine Flight International. But the 777-200LR ""is a niche player"", Mr Learmount continued, adding that reach was not the only criteria airlines used when picking their aircraft. Mr Learmount pointed out that the 777-200LR has been on the market for a couple of years and only had limited success at attracting orders. He also said that while the plane may be able to fly to Sydney from London in one hit, prevailing winds meant that it would have to stop somewhere on the return journey.  For Airbus, the future is big - it is pinning its hopes on planes that can carry as many as 840 people between large hub airports. From there, passengers would be ferried to their final destinations by smaller planes. Airbus is also keeping its options open and plans to compete in all the main categories of aircraft. It has been producing a rival to Boeing's 777 line for more than a year. ""Airbus is now where Boeing was a few years ago"" with its product range, said Flight International's Mr Learmount.  Both Boeing and Airbus have been taking orders for their new planes. Boeing said it expected to sell about 500 of its 777-200LR planes over the next 20 years. It already has orders from Pakistan International Airlines and EVA of Taiwan. These orders should help underpin the company's profits. Boeing said earnings during the last three months of 2004 dropped by 84% because of costs relating to stopping production of its smallest airliner, the 717, and the cancellation of a US air force 767 tanker contract. Net profit was $186m (£98m; 143m euros) in the quarter, compared with $1.13bn in the same period in 2003.",Good News 🎉,"['European', 'US', 'Boeing', 'Airbus', 'Sydney', 'London']","{'question': 'What is the main point of this article?', 'answer': 'this latest tussle between Boeing and Airbus'}","Summarize: US aircraft firm Boeing has unveiled its new long-distance 777 plane, as it tries to regain its position as the industry's leading manufacturer.  The 777-200LR will be capable of flying almost 11,000 miles non-stop, linking cities such as London and Sydney. Boeing, in contrast to European rival Airbus, hopes airlines will want to fly smaller aircraft over longer distances. Airbus, which overtook Boeing as the number one civilian planemaker in 2003, is focusing on so-called super jumbos.  Analysts are divided over which approach is best and say that this latest tussle between Boeing and Airbus may prove to be a defining moment for the airline industry. Boeing plans to offer twin-engine planes that are able to fly direct to many of the world's airports, getting rid of the need for connecting flights.  It is banking on smaller, slimmer planes such as the 777-200LR and its much-anticipated 787 Dreamliner plane, which is set to take to the skies in 2008. The 777-200LR, which had its launch delayed by the 11 Septem  The project is also being made possible by the cooperation between Boeing, Airbus and Lockheed Martin. Boeing CEO Dennis Muilenburg said: ""We were very excited to be in the driver's seat of the new aircraft. ""We are proud to be part of a global brand that has been recognized worldwide for its outstanding performance, reliability and affordability.""  Boeing's 777-200LR will be the first Boeing aircraft to reach cruising altitude.  It will be the first Boeing aircraft to reach cruising altitude in the world.  Boeing is the world's leading manufacturer of aircraft.  The 777-200LR is the third of its kind and the fifth of its kind to be made in North America.  Boeing's 777-200LR will become the world's first Boeing aircraft to reach cruising altitude.  The 777-200LR will be the first Boeing aircraft to reach cruising altitude in the world.  The new 777-200 LR will be a new record for the highest speed aircraft in the world. The new 777-200LR will be the third of its kind and the fifth of its kind to be made in North America. Boeing's 777-200LR will be the new record for the highest speed aircraft in the world.  Boeing is the world's leading manufacturer of aircraft"
Palestinian economy in decline,"Despite a short-lived increase in Palestinian jobs in 2003, the economy is performing well below its potential, said a World Bank report.  Unemployment stood at 25%, compared with 10% before the uprising against Israeli occupation four years ago. Young people are particularly hard hit with 37% out of work, compared with 14% four years ago. But 104,000 new jobs were created last year during a brief easing of violence and closures. However, during the first half of this year, the Palestinian economy lost more than 22,000 jobs. Last year's growth rate of 6% can also be attributed to this temporary gap in violence, the report said. According to the report, Intifada, Closures and Palestinian Economic Crisis: An Assessment, there is a close link between the number of closures - both border closures and internal closures between cities - and Palestinian economic problems. The closures arranged by Israel restrict the movement of Palestinian people and goods, slowing down trade.  ""Closures are a key factor behind today's economic crisis in the West Bank,"" said Nigel Roberts, World Bank country director for the West Bank and Gaza. Nearly half of all Palestinians - some 47% - live below the poverty line and are particularly vulnerable to economic shocks. The report said even more would be on the poverty line without an average of $950m a year from international donors, some of which goes towards job creation. It also called on the Palestinian Authority to revive its reform programme and maintain financial discipline to create an investment-friendly climate. This week Colin Powell, US Secretary of State was visiting the West Bank to stress US support for a smooth Palestinian election in January.",Bad News 👎,"['Palestinian', 'Bank', 'Israeli', 'World']","{'question': 'What is the main point of this article?', 'answer': 'there is a close link between the number of closures'}","Summarize: Despite a short-lived increase in Palestinian jobs in 2003, the economy is performing well below its potential, said a World Bank report.  Unemployment stood at 25%, compared with 10% before the uprising against Israeli occupation four years ago. Young people are particularly hard hit with 37% out of work, compared with 14% four years ago. But 104,000 new jobs were created last year during a brief easing of violence and closures. However, during the first half of this year, the Palestinian economy lost more than 22,000 jobs. Last year's growth rate of 6% can also be attributed to this temporary gap in violence, the report said. According to the report, Intifada, Closures and Palestinian Economic Crisis: An Assessment, there is a close link between the number of closures - both border closures and internal closures between cities - and Palestinian economic problems. The closures arranged by Israel restrict the movement of Palestinian people and goods, slowing down trade.  ""Closures are a key factor behind toda of unemployed Palestinians, the OECD said.  There are about 1.9m Israelis living in poverty, and the poverty rate is 13% higher than the national average.  The unemployment rate among young people is 16%, compared with 17% for the general population.  The OECD predicts that the Palestinian economy will shrink by at least 20% by 2020. The Arab Spring has made the Arab world a haven for young people, particularly in the West Bank, where there are currently about 50,000 young people.  The World Bank said the Arab Spring was a ""favourite event for youth in the Arab world,"" adding: ""This period also demonstrates the importance of economic reforms and social investment across the region.""  The United Nations said in a report on the report that in the Arab world, ""the economic environment for young people is increasingly dominated by the threat of financial crises.""  The African Union has pledged to spend about $2 billion on social programs in the coming fiscal year, up from $1.1 billion this year.

This article was originally posted on"
Huge rush for Jet Airways shares,"Indian airline Jet Airways' initial public offering was oversubscribed 16.2 times, bankers said on Friday.  Over 85% of the bids were at the higher end of the price range of 1,050-1,125 rupees ($24-$26). Jet Airways, a low-fare airline, was founded by London-based ex-travel agent Naresh Goya, and controls 45% of the Indian domestic airline market. It sold 20% of its equity or 17.2 million shares in a bid to raise up to $443m (£230.8m). The price at which its shares will begin trading will be agreed over the weekend, bankers said. ""The demand for the IPO was impressive. We believe that over the next two years, the domestic aviation sector promises strong growth, even though fuel prices could be high,"" said Hiten Mehta, manager of merchant banking firm, Fortune Financial Services. India began to open up its domestic airline market - previously dominated by state-run carrier Indian Airlines - in the 1990s. Jet began flying in 1993 and now has competitors including Air Deccan and Air Sahara. Budget carriers Kingfisher Airlines and SpiceJet are planning to launch operations in May this year. Jet has 42 aircraft and runs 271 scheduled flights daily within India. It recently won government permission to fly to London, Singapore and Kuala Lumpur.",Just News 🤷,"['Jet', '##ya', '##resh', 'Go', 'Na', 'Indian', 'Airways']","{'question': 'What is the main point of this article?', 'answer': 'the domestic aviation sector promises strong growth'}","Summarize: Indian airline Jet Airways' initial public offering was oversubscribed 16.2 times, bankers said on Friday.  Over 85% of the bids were at the higher end of the price range of 1,050-1,125 rupees ($24-$26). Jet Airways, a low-fare airline, was founded by London-based ex-travel agent Naresh Goya, and controls 45% of the Indian domestic airline market. It sold 20% of its equity or 17.2 million shares in a bid to raise up to $443m (£230.8m). The price at which its shares will begin trading will be agreed over the weekend, bankers said. ""The demand for the IPO was impressive. We believe that over the next two years, the domestic aviation sector promises strong growth, even though fuel prices could be high,"" said Hiten Mehta, manager of merchant banking firm, Fortune Financial Services. India began to open up its domestic airline market - previously dominated by state-run carrier Indian Airlines - in the 1990s. Jet began flying in 1993 and now has competitors including Air Deccan and Air Sahara. Budget carriers Kingf which began service on December 13, was the biggest bidder.  Bank of China Bank of India (BFCI) chief executive officer Mohan Bhagwat said that the airline is seeking to reduce its short-term interest rate by 5%. Bhagwat later said that if the airline is able to raise the short-term interest rate to 6%, it could be able to open the new airline at a lower price.  The airline has already raised the long-term interest rate from 6% to 6.5% and is due to start flying from New Delhi this month.  The airline expects to raise its long-term interest rate from 6% to 6.5% next year.

The company first announced its initial public offering on December 13 in an investment report and later said that it has ""pledged the core value of the airline at $5.2 billion.""  Jet Airways chief executive Mohan Bhagwat said that the airline will open its first international airline in India next month and that it plans to close its first international airport in Hyderabad on January 17, 2017.  Jet Airways expects to open its first international airport in Hyderabad on January 17, 2017.

Jet Airways reported that it has raised its long-term interest rate"
JP Morgan admits US slavery links,"Thousands of slaves were accepted as collateral for loans by two banks that later became part of JP Morgan Chase.  The admission is part of an apology sent to JP Morgan staff after the bank researched its links to slavery in order to meet legislation in Chicago. Citizens Bank and Canal Bank are the two lenders that were identified. They are now closed, but were linked to Bank One, which JP Morgan bought last year. About 13,000 slaves were used as loan collateral between 1831 and 1865.  Because of defaults by plantation owners, Citizens and Canal ended up owning about 1,250 slaves. ""We all know slavery existed in our country, but it is quite different to see how our history and the institution of slavery were intertwined,"" JP Morgan chief executive William Harrison and chief operating officer James Dimon said in the letter. ""Slavery was tragically ingrained in American society, but that is no excuse."" ""We apologise to the African-American community, particularly those who are descendants of slaves, and to the rest of the American public for the role that Citizens Bank and Canal Bank played."" ""The slavery era was a tragic time in US history and in our company's history."" JP Morgan said that it was setting up a $5m scholarship programme for students living in Louisiana, the state where the events took place. The bank said that it is a ""very different company than the Citizens and Canal Banks of the 1800s"".",Just News 🤷,"['Chicago', 'JP', 'Chase', 'One', 'Morgan', 'Bank', 'Citizens', 'Canal']","{'question': 'What is the main point of this article?', 'answer': 'an apology'}","Summarize: Thousands of slaves were accepted as collateral for loans by two banks that later became part of JP Morgan Chase.  The admission is part of an apology sent to JP Morgan staff after the bank researched its links to slavery in order to meet legislation in Chicago. Citizens Bank and Canal Bank are the two lenders that were identified. They are now closed, but were linked to Bank One, which JP Morgan bought last year. About 13,000 slaves were used as loan collateral between 1831 and 1865.  Because of defaults by plantation owners, Citizens and Canal ended up owning about 1,250 slaves. ""We all know slavery existed in our country, but it is quite different to see how our history and the institution of slavery were intertwined,"" JP Morgan chief executive William Harrison and chief operating officer James Dimon said in the letter. ""Slavery was tragically ingrained in American society, but that is no excuse."" ""We apologise to the African-American community, particularly those who are descendants of slaves, and to the  among the banks that were not subject to the laws of the United States. 
Losing $200k from JP Morgan Chase is a great deal worse than losing $200k from your own bank. This is because the banks were not allowed to use the same cash to run their operations.  The bank was allowed to use $200k of money from the bank for their own purposes. 
The financial system is a system of oppression and injustice. 
They were able to use JP Morgan Chase cash to run their bank without worrying about being forced into bankruptcy.  They were able to use it to put their own money out of reach of any other bank. 
This is why they were able to use JP Morgan Chase cash to make loans to the people they were trying to help. 
As you can see, they were able to make loans to the people they were helping to help. 
Here are some of the examples used to show how the banks were able to use their own money:
The banks of New York City were able to use JP Morgan Chase cash to make loans to the residents of the city. 
The banks of Chicago, Chicago City, and Washington, D.C. were able to use money from the banks of"
Manufacturing recovery 'slowing',"UK manufacturing grew at its slowest pace in one-and-a-half years in January, according to a survey.  The Chartered Institute of Purchasing and Supply (CIPS) said its purchasing manager index (PMI) fell to 51.8 from a revised 53.3 in December. But, despite missing forecasts of 53.7, the PMI number remained above 50 - indicating expansion in the sector. The CIPS said that the strong pound had dented exports while rising oil and metals prices had kept costs high.  The survey added that rising input prices and cooling demand had deterred factory managers from hiring new workers in an effort to cut costs. That triggered the second successive monthly fall in the CIPS employment index to 48.3 - its lowest level since June 2003. The survey is more upbeat than official figures - which suggest that manufacturing is in recession - but analysts said the survey did suggest that the manufacturing recovery was running out of steam. ""It appears that the UK is in a two-tier economy again,"" said Prebon Yamane economist Lena Komileva. ""You have weakness in manufacturing, which I think would concern policymakers at the Bank of England.""",Just News 🤷,"['##IP', 'of', 'Supply', 'and', 'UK', '##cha', '##S', 'PM', 'Chartered', 'Institute', 'C', '##sing', '##ur', 'P']","{'question': 'What is the main point of this article?', 'answer': 'rising input prices and cooling demand had deterred factory managers from hiring new workers'}","Summarize: UK manufacturing grew at its slowest pace in one-and-a-half years in January, according to a survey.  The Chartered Institute of Purchasing and Supply (CIPS) said its purchasing manager index (PMI) fell to 51.8 from a revised 53.3 in December. But, despite missing forecasts of 53.7, the PMI number remained above 50 - indicating expansion in the sector. The CIPS said that the strong pound had dented exports while rising oil and metals prices had kept costs high.  The survey added that rising input prices and cooling demand had deterred factory managers from hiring new workers in an effort to cut costs. That triggered the second successive monthly fall in the CIPS employment index to 48.3 - its lowest level since June 2003. The survey is more upbeat than official figures - which suggest that manufacturing is in recession - but analysts said the survey did suggest that the manufacturing recovery was running out of steam. ""It appears that the UK is in a two-tier economy again,"" said Prebon Yamane economist Lena K 52.3 in January. The survey also reported that the UK's manufacturing sector contracted by 0.4 per cent in the year to December, the lowest monthly decline in three years."
Dollar hits new low versus euro,"The US dollar has continued its record-breaking slide and has tumbled to a new low against the euro.  Investors are betting that the European Central Bank (ECB) will not do anything to weaken the euro, while the US is thought to favour a declining dollar. The US is struggling with a ballooning trade deficit and analysts said one of the easiest ways to fund it was by allowing a depreciation of the dollar. They have predicted that the dollar is likely to fall even further.  The US currency was trading at $1.364 per euro at 1800 GMT on Monday. This compares with $1.354 to the euro in late trading in New York on Friday, which was then a record low.  The dollar has weakened sharply since September when it traded about $1.20 against the euro. It has lost 7% this year, while against the Japanese yen it is down 3.2%. Traders said that thin trading levels had amplified Monday's move. ""It's not going to take much to push [the dollar] one way or the other,"" said Grant Wilson of Mellon Bank. Liquidity - a measure of the number of parties willing to trade in the market - was about half that of a normal working day, traders said.",Just News 🤷,"['European', 'US', 'Central', 'Bank', '##B', 'EC']","{'question': 'What is the main point of this article?', 'answer': 'Liquidity'}","Summarize: The US dollar has continued its record-breaking slide and has tumbled to a new low against the euro.  Investors are betting that the European Central Bank (ECB) will not do anything to weaken the euro, while the US is thought to favour a declining dollar. The US is struggling with a ballooning trade deficit and analysts said one of the easiest ways to fund it was by allowing a depreciation of the dollar. They have predicted that the dollar is likely to fall even further.  The US currency was trading at $1.364 per euro at 1800 GMT on Monday. This compares with $1.354 to the euro in late trading in New York on Friday, which was then a record low.  The dollar has weakened sharply since September when it traded about $1.20 against the euro. It has lost 7% this year, while against the Japanese yen it is down 3.2%. Traders said that thin trading levels had amplified Monday's move. ""It's not going to take much to push [the dollar] one way or the other,"" said Grant Wilson of Mellon Bank. Liquidity - a measure of the  Euro has been the currency of choice of many in the eurozone, but the US dollar has also become a hotbed of discontent with the status quo.

The US dollar has continued its record-breaking slide and has tumbled to a new low against the euro.  Investors are betting that the European Central Bank (ECB) will not do anything to weaken the euro, while the US is thought to favour a declining dollar. The Euro has been the currency of choice of many in the eurozone, but the US dollar has also become a hotbed of discontent with the status quo. The UK is the world's biggest economy, and it has been the gold standard of the eurozone for over a century. It is also facing a significant shortfall in its bank reserves, which has made it one of the world's most expensive economies. The US dollar has become a hotbed of discontent with the status quo. European banks are under pressure from the ECB to provide more liquidity.

The European Central Bank (ECB) is under pressure from the ECB to provide more liquidity. The US dollar has a long history of being an important source of foreign exchange, for example, in a currency exchange union. The US dollar has been used to secure the UK's financial support for the"
